Package,Details,Action,Suite,
com.facebook.appmanager,Meta App Manager,1,Facebook Bloat,
com.facebook.services,Meta Services,1,Facebook Bloat,
com.facebook.system,Meta App Installer,1,Facebook Bloat,
com.microsoft.skydrive,Microsoft Onedrive,1,Microsoft Bloat,
com.mygalaxy,My Galaxy,1,Samsung Bloat,
com.opera.max.oem,Samsung Max VPN & Data Saver,1,Samsung Bloat,
com.samsung.android.app.spage,Samsung Free,1,Samsung Bloat,
com.samsung.ecomm.global.in,Samsung Shop,1,Samsung Bloat,
com.samsung.android.ardrawing,Samsung AR Doodle,1,Samsung AR,
com.samsung.android.aremoji,Samsung AR Emoji,1,Samsung AR,
com.samsung.android.aremojieditor,Samsung AR Emoji Editor,1,Samsung AR,
com.samsung.android.arzone,Samsung AR Zone,1,Samsung AR,
com.samsung.android.mfi,Galaxy Widget,1,Samsung Widgets,
com.samsung.android.widget.pictureframe,Gallery widget,1,Samsung Widgets,
com.sec.android.daemonapp,Required by certain Widgets,1,Samsung Widgets,
com.sec.android.widgetapp.easymodecontactswidget,Favourite Contacts widget,1,Samsung Widgets,
com.sec.android.widgetapp.webmanual,User Manual,1,Samsung Widgets,
com.samsung.android.messaging,Samsung Message,1,Samsung Bloat,
com.sec.android.easyMover,Samsung Smart Switch Mobile,1,Samsung Smart Switch,
com.sec.android.easyMover.Agent,Samsung Smart Switch Agent,1,Samsung Smart Switch,
com.samsung.android.smartswitchassistant,Samsung Smart Switch Assistant,1,Samsung Smart Switch,
com.samsung.android.shortcutbackupservice,SmartSwitch Samsung Cloud,1,Samsung Smart Switch,
com.samsung.android.keycustomizationinfobackupservice,SmartSwitch Samsung Cloud,1,Samsung Smart Switch,
android.autoinstalls.config.samsung,Installs More Bloats,1,Trash Installer,
com.aura.oobe.samsung,AppCloud : Installs Trash,1,Trash Installer,
com.samsung.android.app.omcagent,Installs More Bloats,1,Trash Installer,
com.samsung.android.app.updatecenter,Installs Updates : No Affect Upon Uninstalling,1,Trash Installer,
com.samsung.android.mapsagent,Application recommendations,1,Trash Installer,
com.samsung.discover,Shows app recommendations on Launcher,1,Trash Installer,
com.samsung.discover.sep,Required by com.samsung.discover,1,Trash Installer,
com.samsung.SMT,Samsung Text to Speech,2,Samsung App and Services,
com.samsung.android.app.cocktailbarservice,Edge Panel,2,Edge,
com.samsung.android.service.peoplestripe,People Edge,2,Edge,
com.samsung.android.app.taskedge,Tasks Edge,2,Edge,
com.sec.android.app.quicktool,Tools Edge,2,Edge,
com.samsung.android.app.clipboardedge,Clipboard Edge,2,Edge,
